"","CatalogNumber","RouteIdentifier","SurveyAreaIdentifier","SpeciesCode","YearCollected","MonthCollected","DayCollected","TimeCollected","DurationInHours","CollectorNumber","DecimalLatitude","DecimalLongitude","ObservationCount"
"1","291018-1-2420-20","VIVI-30","VIVI-30","PECO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","23"
"2","89224-1-5142-13","SCPR-2","SCPR-2","SHBG","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","8"
"3","107272-1-2550-8","LMVN-29","LMVN-29","GBHE","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","3"
"4","167219-1-13900-22","VIPQ-8","VIPQ-8","AMCR","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","11"
"5","87911-1-5350-17","SCPR-2","SCPR-2","UNGU","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","100"
"6","151784-1-4640-10","SCPR-1","SCPR-1","BLTU","2020","12","12","13","2","1043283","49.816643","-124.530579","1"
"7","128314-1-750-2","SCPR-1","SCPR-1","HARD","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","7"
"8","149917-1-750-2","VICX-3","VICX-3","HARD","2020","10","12","13","2.25","1074637","49.714108","-124.873199","56"
"9","82213-1-6110-16","VICX-13","VICX-13","ECDO","2017","9","10","8.73333","2.38333","1074943","49.773106","-124.964951","3"
"10","288014-1-2550-19","VIVI-16","VIVI-16","GBHE","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","2"
"11","89224-1-3020-10","SCPR-2","SCPR-2","BAEA","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","2"
"12","57354-1-3020-18","LMVN-8","LMVN-8","BAEA","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"13","57354-1-45581-21","LMVN-8","LMVN-8","PEFA","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"14","127526-1-2390-12","SCPR-1","SCPR-1","DCCO","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","5"
"15","131055-1-5800-5","GIGB5","GIGB5","MAMU","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","2"
"16","159280-1-13900-12","VICX-7","VICX-7","AMCR","2021","3","13","15","1.5","1054998","49.653252","-124.942177","18"
"17","159358-1-5250-3","LMVN-34","LMVN-34","GWGU","2021","3","14","18","0.5","1121619","49.293617","-123.037277","4"
"18","159358-1-2420-4","LMVN-34","LMVN-34","PECO","2021","3","14","18","0.5","1121619","49.293617","-123.037277","2"
"19","131055-1-840-2","GIGB5","GIGB5","BAGO","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","32"
"20","159280-1-5160-9","VICX-7","VICX-7","CAGU","2021","3","13","15","1.5","1054998","49.653252","-124.942177","6"
"21","131855-1-5730-16","GIGB-3","GIGB-3","COMU","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","8"
"22","131855-1-5250-19","GIGB-3","GIGB-3","GWGU","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","4"
"23","131855-1-2420-22","GIGB-3","GIGB-3","PECO","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"24","144447-1-230-1","VIVI-58","VIVI-58","CAGO","2020","7","12","8.5","1.66667","1073928","48.427128","-123.467110","432"
"25","58588-1-1530-5","VIPM-2","VIPM-2","RTLO","2016","7","17","7","2","1054944","50.788406","-126.438927","2"
