"","RouteIdentifier","latitude","longitude"
"1","GIMA-8",48.820957,-123.273598
"2","VIMA-2",50.659473,-127.029503
"3","GIHO-1",49.522808,-124.581879
"4","VIMA-1",50.677376,-127.106293
"5","VICX-13",49.773106,-124.964951
"6","VIVI-60",48.44775,-123.405029
"7","GIHO-20",49.508625,-124.668152
"8","VIPM-2",50.788406,-126.438927
"9","VIVI-45",48.632389,-123.479767
"10","VIVI-25",48.406452,-123.303001
"11","GIPE-4",48.769798,-123.255653
"12","VICX-3",49.714108,-124.873199
"13","VINN-4",49.258274,-124.071091
"14","VIVI-30",48.483002,-123.292068
"15","VIVI-53",48.565395,-123.359573
"16","LMSQ-8",49.695648,-123.171677
"17","SCSE-1",49.492432,-123.756668
"18","LMWR-1",49.011818,-122.791481
"19","VICX-7",49.653252,-124.942177
"20","VINN-5",49.252304,-124.038368
"21","VIVI-3",48.351013,-123.723602
"22","NCKI-3",53.985207,-128.661102
"23","VIVI-32",48.53091,-123.355026
"24","SCBI-11",49.36005,-123.432533
"25","VIVI-23",48.404388,-123.372589
"26","SCSE-4",49.506927,-123.912979
"27","LMVN-54",49.334248,-123.24324
"28","SCGI-5",49.412853,-123.632332
"29","VIBC-2",49.871754,-125.108597
"30","GIMA-4",48.868401,-123.26696
"31","LMVN-8",49.036324,-123.136032
"32","VIVI-40",48.672474,-123.403633
"33","GIHO-23",49.50174,-124.694382
"34","VINN-9",49.209484,-123.935341
"35","GIHO-7",49.551304,-124.699944
"36","VIPQ-6",49.30975,-124.225571
"37","VIPR-15",48.935139,-125.535301
"38","VIPQ-8",49.310249,-124.204018
"39","LMWR-5",49.040279,-122.88829
"40","VIPA-2",49.247284,-124.825409
"41","VIVI-61",48.451252,-123.417732
"42","GIPE-5",48.76004,-123.260681
"43","LMSQ-11",49.686741,-123.16568
"44","QCSK-3",53.222988,-132.083801
"45","VICV-6",48.760704,-123.622688
"46","LMVN-24",49.281094,-123.147202
"47","SCSE-2",49.472462,-123.850899
"48","VINN-2",49.258121,-124.151062
"49","GIPE-1",48.731438,-123.182571
"50","VIPQ-4",49.46059,-124.744179
"51","LMVN-12",49.165325,-123.204292
"52","GIHO-6",49.553108,-124.662247
"53","VIVI-20",48.459244,-123.42157
"54","LMSQ-3",49.703907,-123.176682
"55","VIPQ-7",49.370583,-124.505623
