"","record_id","collection","project_id","protocol_id","protocol_type","species_id","statprov_code","country_code","SiteCode","latitude","longitude","bcr","subnational2_code","iba_site","utm_square","survey_year","survey_month","survey_week","survey_day","breeding_rank","GlobalUniqueIdentifier","DateLastModified","BasisOfRecord","InstitutionCode","CollectionCode","CatalogNumber","ScientificName","HigherTaxon","Kingdom","Phylum","Class","OrderTaxon","Family","Genus","SpecificEpithet","InfraspecificRank","InfraspecificEpithet","ScientificNameAuthor","IdentificationQualifier","HigherGeography","Continent","WaterBody","IslandGroup","Island","Country","StateProvince","County","Locality","MinimumElevationInMeters","MaximumElevationInMeters","MinimumDepthInMeters","MaximumDepthInMeters","DecimalLatitude","DecimalLongitude","GeodeticDatum","CoordinateUncertaintyInMeters","YearCollected","MonthCollected","DayCollected","TimeCollected","JulianDay","Collector","Sex","LifeStage","ImageURL","RelatedInformation","CollectorNumber","FieldNumber","FieldNotes","OriginalCoordinatesSystem","LatLongComments","GeoreferenceMethod","GeoreferenceReferences","GeoreferenceVerificationStatus","Remarks","FootprintWKT","FootprintSRS","ProjectCode","ProtocolType","ProtocolCode","ProtocolSpeciesTargeted","ProtocolReference","ProtocolURL","SurveyAreaIdentifier","SurveyAreaSize","SurveyAreaPercentageCovered","SurveyAreaShape","SurveyAreaLongAxisLength","SurveyAreaShortAxisLength","SurveyAreaLongAxisOrientation","CoordinatesScope","SamplingEventIdentifier","SamplingEventStructure","RouteIdentifier","TimeObservationsStarted","TimeObservationsEnded","DurationInHours","TimeIntervalStarted","TimeIntervalEnded","TimeIntervalsAdditive","NumberOfObservers","EffortMeasurement1","EffortUnits1","EffortMeasurement2","EffortUnits2","EffortMeasurement3","EffortUnits3","EffortMeasurement4","EffortUnits4","EffortMeasurement5","EffortUnits5","EffortMeasurement6","EffortUnits6","EffortMeasurement7","EffortUnits7","EffortMeasurement8","EffortUnits8","EffortMeasurement9","EffortUnits9","EffortMeasurement10","EffortUnits10","EffortMeasurement11","EffortUnits11","EffortMeasurement12","EffortUnits12","EffortMeasurement13","EffortUnits13","EffortMeasurement14","EffortUnits14","EffortMeasurement15","EffortUnits15","EffortMeasurement16","EffortUnits16","EffortMeasurement17","EffortUnits17","EffortMeasurement18","EffortUnits18","NoObservations","DistanceFromObserver","DistanceFromObserverMin","DistanceFromObserverMax","DistanceFromStart","BearingInDegrees","SpecimenDecimalLatitude","SpecimenDecimalLongitude","SpecimenGeodeticDatum","SpecimenUTMZone","SpecimenUTMNorthing","SpecimenUTMEasting","ObservationCount","ObservationDescriptor","ObservationCount2","ObservationDescriptor2","ObservationCount3","ObservationDescriptor3","ObservationCount4","ObservationDescriptor4","ObservationCount5","ObservationDescriptor5","ObservationCount6","ObservationDescriptor6","ObsCountAtLeast","ObsCountAtMost","ObservationDate","DateUncertaintyInDays","AllIndividualsReported","AllSpeciesReported","UTMZone","UTMNorthing","UTMEasting","CoordinatesUncertaintyInDecimalDegrees","CommonName","RecordPermissions","MultiScientificName1","MultiScientificName2","MultiScientificName3","MultiScientificName4","MultiScientificName5","MultiScientificName6","TaxonomicAuthorityAuthors","TaxonomicAuthorityVersion","TaxonomicAuthorityYear","SpeciesCode","TaxonConceptID","BreedingBirdAtlasCode","HabitatDescription","Remarks2","LastModifiedAction","RecordReviewStatus"
"1",1077716099,"BCCWS",1008,92,3,5800,"BC","CA","SCBI-11",49.36005,-123.432533,5,"CA.BC.GV","BC020","10UDV66",2018,4,1,8,NA,"URN:catalog:BSC-EOC:BCCWS:88101-1-5800-16",NA,"Observation","BSC-EOC","BCCWS","88101-1-5800-16","Brachyramphus marmoratus","AnimaliaChordataAvesCharadriiformes54","Animalia","Chordata","Aves","Charadriiformes","54","Brachyramphus","marmoratus",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Bowen Bay Holdings",NA,NA,NA,NA,"49.360050","-123.432533",NA,NA,"2018","4","8","16",NA,NA,NA,NA,NA,NA,"1074594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","SCBI-11",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-88101-1",NA,"SCBI-11","16","18","2",NA,NA,NA,NA,NA,"Party-hours","Unlimited","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Total Count","0","Inland","2","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Marbled Murrelet",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","MAMU",NA,NA,NA,NA,NA,NA
"2",1077716111,"BCCWS",1008,92,3,770,"BC","CA","VIPQ-6",49.30975,-124.225571,5,"CA.BC.NA","BC056","10UDV16",2018,2,2,11,NA,"URN:catalog:BSC-EOC:BCCWS:86485-1-770-3",NA,"Observation","BSC-EOC","BCCWS","86485-1-770-3","Melanitta perspicillata","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Melanitta","perspicillata",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Madrona Point to Wall Beach",NA,NA,NA,NA,"49.309750","-124.225571",NA,NA,"2018","2","11","11.0667",NA,NA,NA,NA,NA,NA,"1054938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","VIPQ-6",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-86485-1",NA,"VIPQ-6","11.0667","12.5167","1.45",NA,NA,NA,NA,NA,"Party-hours","1 km","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Total Count","0","Inland","2","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Surf Scoter",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","SUSC",NA,NA,NA,NA,NA,NA
"3",1077716116,"BCCWS",1008,92,3,451,"BC","CA","VIVI-61",48.451252,-123.417732,5,"CA.BC.CP","N/A","10TDU66",2019,11,2,10,NA,"URN:catalog:BSC-EOC:BCCWS:128735-1-451-2",NA,"Observation","BSC-EOC","BCCWS","128735-1-451-2","Anas platyrhynchos","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Anas","platyrhynchos",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Gorge Rd walkway",NA,NA,NA,NA,"48.451252","-123.417732",NA,NA,"2019","11","10","10.3333",NA,NA,NA,NA,NA,NA,"1055004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","VIVI-61",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-128735-1",NA,"VIVI-61","10.3333","11.5","1.16667",NA,NA,NA,NA,NA,"Party-hours","Unlimited","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Total Count","0","Inland","10","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Mallard",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","MALL",NA,NA,NA,NA,NA,NA
"4",1077716125,"BCCWS",1008,92,3,5250,"BC","CA","VINN-2",49.258121,-124.151062,5,"CA.BC.NA","BC056","10UDV15",2018,11,2,12,NA,"URN:catalog:BSC-EOC:BCCWS:103077-1-5250-5",NA,"Observation","BSC-EOC","BCCWS","103077-1-5250-5","Larus glaucescens","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Larus","glaucescens",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Nanoose Bay",NA,NA,NA,NA,"49.258121","-124.151062",NA,NA,"2018","11","12","9.01667",NA,NA,NA,NA,NA,NA,"1077541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","VINN-2",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-103077-1",NA,"VINN-2","9.01667","9.65","0.633333",NA,NA,NA,NA,NA,"Party-hours","Unlimited","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","Total Count","11","Inland","47","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Glaucous-winged Gull",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","GWGU",NA,NA,NA,NA,NA,NA
"5",1077716132,"BCCWS",1008,92,3,800,"BC","CA","VIVI-20",48.459244,-123.42157,5,"CA.BC.CP","N/A","10TDU66",2019,1,2,12,NA,"URN:catalog:BSC-EOC:BCCWS:102165-1-800-10",NA,"Observation","BSC-EOC","BCCWS","102165-1-800-10","Melanitta sp.","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Melanitta","sp.",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Portage Inlet",NA,NA,NA,NA,"48.459244","-123.421570",NA,NA,"2019","1","12","9.5",NA,NA,NA,NA,NA,NA,"1054997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","VIVI-20",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-102165-1",NA,"VIVI-20","9.5","12","2.5",NA,NA,NA,NA,NA,"Party-hours","Unlimited","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","Total Count","0","Inland","6","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"scoter sp.",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","UNSC",NA,NA,NA,NA,NA,NA
"6",1077716149,"BCCWS",1008,92,3,230,"BC","CA","LMVN-28",49.31345,-123.15609,5,"CA.BC.GV","BC020","10UDV86",2018,3,2,11,NA,"URN:catalog:BSC-EOC:BCCWS:87449-1-230-1",NA,"Observation","BSC-EOC","BCCWS","87449-1-230-1","Branta canadensis","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Branta","canadensis",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Prospect Point",NA,NA,NA,NA,"49.313450","-123.156090",NA,NA,"2018","3","11","14",NA,NA,NA,NA,NA,NA,"1054984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","LMVN-28",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-87449-1",NA,"LMVN-28","14","15.3333","1.33333",NA,NA,NA,NA,NA,"Party-hours","Unlimited","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Total Count","0","Inland","3","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Canada Goose",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","CAGO",NA,NA,NA,NA,NA,NA
"7",1077716192,"BCCWS",1008,92,3,451,"BC","CA","VIMA-2",50.659473,-127.029503,5,"CA.BC.MW2","N/A","09UXS31",2019,2,2,10,NA,"URN:catalog:BSC-EOC:BCCWS:103560-1-451-1",NA,"Observation","BSC-EOC","BCCWS","103560-1-451-1","Anas platyrhynchos","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Anas","platyrhynchos",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Shiels Bay - Malcolm Island",NA,NA,NA,NA,"50.659473","-127.029503",NA,NA,"2019","2","10","1.41667",NA,NA,NA,NA,NA,NA,"1055012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","VIMA-2",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-103560-1",NA,"VIMA-2","1.41667","2.58333","1.16667",NA,NA,NA,NA,NA,"Party-hours","1 km","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","Total Count","0","Inland","15","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Mallard",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","MALL",NA,NA,NA,NA,NA,NA
"8",1077716210,"BCCWS",1008,92,3,770,"BC","CA","QCSK5",53.330471,-131.9384,5,"CA.BC.SQ2","BC145","09UUV01",2018,2,2,10,NA,"URN:catalog:BSC-EOC:BCCWS:86948-1-770-2",NA,"Observation","BSC-EOC","BCCWS","86948-1-770-2","Melanitta perspicillata","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Melanitta","perspicillata",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Miller Creek - North",NA,NA,NA,NA,"53.330471","-131.938400",NA,NA,"2018","2","10","11.25",NA,NA,NA,NA,NA,NA,"1074736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","QCSK5",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-86948-1",NA,"QCSK5","11.25","12.5","1.25",NA,NA,NA,NA,NA,"Party-hours","500m","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","Total Count","0","Inland","0","Near Shore","12","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Surf Scoter",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","SUSC",NA,NA,NA,NA,NA,NA
"9",1077716211,"BCCWS",1008,92,3,5800,"BC","CA","SCPR-6",50.053322,-124.783859,5,"CA.BC.PW","BC067","10UCA74",2019,11,2,10,NA,"URN:catalog:BSC-EOC:BCCWS:129002-1-5800-11",NA,"Observation","BSC-EOC","BCCWS","129002-1-5800-11","Brachyramphus marmoratus","AnimaliaChordataAvesCharadriiformes54","Animalia","Chordata","Aves","Charadriiformes","54","Brachyramphus","marmoratus",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Malaspina Inlet",NA,NA,NA,NA,"50.053322","-124.783859",NA,NA,"2019","11","10","14.4833",NA,NA,NA,NA,NA,NA,"1055039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","SCPR-6",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-129002-1",NA,"SCPR-6","14.4833","15.5167","1.03333",NA,NA,NA,NA,NA,"Party-hours","Unlimited","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Total Count","0","Inland","30","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Marbled Murrelet",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","MAMU",NA,NA,NA,NA,NA,NA
"10",1077716219,"BCCWS",1008,92,3,230,"BC","CA","VICV-2",48.650532,-123.542328,5,"CA.BC.CV","N/A","10TDU68",2018,1,2,14,NA,"URN:catalog:BSC-EOC:BCCWS:84966-1-230-1",NA,"Observation","BSC-EOC","BCCWS","84966-1-230-1","Branta canadensis","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Branta","canadensis",NA,NA,NA,NA,"North AmericaCanadaBritish Columbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Mill Bay",NA,NA,NA,NA,"48.650532","-123.542328",NA,NA,"2018","1","14","11.1667",NA,NA,NA,NA,NA,NA,"1054963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Modified transect","BCCWS","Waterbirds",NA,"http://www.birdscanada.org/download/BCCWSProtocol.pdf","VICV-2",NA,NA,"Unlimited",NA,NA,NA,NA,"BCCWS-84966-1",NA,"VICV-2","11.1667","12.25","1.08333",NA,NA,NA,NA,NA,"Party-hours","1 km","Visibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","Total Count","0","Inland","35","Near Shore","0","Off Shore",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Canada Goose",NA,NA,NA,NA,NA,NA,NA,"Cornell Lab of Ornithology","eBird/Clements v2019","2019","CAGO",NA,NA,NA,NA,NA,NA
