"","SiteCode","latitude","longitude"
"1","22-5",48.674149,-123.393333
"2","22-17",48.681965,-123.387817
"3","22-7",48.678383,-123.395447
"4","10-360",48.818802,-123.108849
"5","6-462",48.711082,-123.249565
"6","2-62",48.599934,-123.319397
"7","4-100",48.587349,-123.251297
"8","4-111",48.606533,-123.263916
"9","4-112",48.608318,-123.265884
"10","24-114",48.611965,-123.269768
"11","24-115",48.613834,-123.271767
"12","5-137",48.655117,-123.274002
"13","5-151",48.682266,-123.28273
"14","5-152",48.68425,-123.284447
"15","21-165",48.695732,-123.31665
"16","21-168",48.694901,-123.326668
"17","21-172",48.701698,-123.331665
"18","19-192",48.744865,-123.349068
"19","19-197",48.75565,-123.353401
"20","19-212",48.787167,-123.369865
"21","19-217",48.797451,-123.376587
"22","8-393",48.777767,-123.048798
"23","8-424",48.748817,-123.1399
"24","8-428",48.743866,-123.151001
"25","25-433",48.737667,-123.164864
"26","25-437",48.73275,-123.175919
"27","25-442",48.728283,-123.187752
"28","6-461",48.711948,-123.246437
"29","6-476",48.699066,-123.29258
"30","21-495",48.682568,-123.351585
"31","2-59",48.605415,-123.325333
"32","5-143",48.666599,-123.269119
"33","5-145",48.670567,-123.272667
"34","5-148",48.676449,-123.277649
"35","9-389",48.782368,-123.038437
"36","15-286",48.854935,-123.307518
"37","21-169",48.695251,-123.329231
"38","16-271",48.856033,-123.352264
"39","23-363",48.816002,-123.099869
"40","8-416",48.758133,-123.117699
"41","3-76",48.577366,-123.289467
"42","3-85",48.567749,-123.270287
"43","3-86",48.565735,-123.268967
"44","22-11",48.686199,-123.396416
"45","22-26",48.672699,-123.367249
"46","1-45",48.632301,-123.348366
"47","3-80",48.576565,-123.276253
"48","12-330",48.836418,-123.2052
"49","19-218",48.799534,-123.377914
"50","18-245",48.847168,-123.409218
"51","22-8",48.680515,-123.396698
"52","1-44",48.634468,-123.349419
"53","24-124",48.630566,-123.28968
"54","4-104",48.595383,-123.251999
"55","22-14",48.687515,-123.390968
"56","8-415",48.758183,-123.114403
"57","12-332",48.833698,-123.199898
"58","24-117",48.61755,-123.275764
"59","8-407",48.76165,-123.088982
"60","22-27",48.670517,-123.366249
"61","24-122",48.6269,-123.285767
"62","22-10",48.683968,-123.396049
"63","1-48",48.625832,-123.345413
"64","9-386",48.787552,-123.04438
"65","22-24",48.673801,-123.373169
"66","18-250",48.849152,-123.407631
"67","16-272",48.857449,-123.349785
"68","16-277",48.861401,-123.336166
"69","12-335",48.82962,-123.1922
"70","24-126",48.634151,-123.293533
"71","21-173",48.703815,-123.332649
"72","17-255",48.849834,-123.393135
"73","14-299",48.876583,-123.289131
"74","13-308",48.868568,-123.261765
"75","23-377",48.802635,-123.05722
"76","9-380",48.799,-123.049164
"77","3-87",48.563732,-123.26767
"78","12-320",48.85585,-123.226616
"79","12-334",48.830978,-123.194702
"80","12-336",48.828259,-123.189598
"81","9-385",48.789234,-123.044899
"82","8-414",48.758232,-123.111
"83","21-487",48.689484,-123.326836
"84","16-274",48.860485,-123.344666
"85","18-233",48.825317,-123.395103
"86","18-234",48.826565,-123.397934
"87","18-231",48.822582,-123.38942
"88","18-236",48.829182,-123.403564
"89","18-238",48.83305,-123.406364
"90","18-235",48.82785,-123.400719
"91","22-28",48.668549,-123.365196
"92","22-16",48.683567,-123.389198
"93","24-119",48.621315,-123.27977
"94","9-384",48.791401,-123.044548
"95","22-9",48.682701,-123.397781
"96","12-331",48.83506,-123.202599
"97","5-140",48.660717,-123.268715
"98","3-84",48.569767,-123.271614
"99","14-298",48.875885,-123.29155
"100","22-20",48.675568,-123.386353
"101","5-139",48.658882,-123.2705
"102","5-159",48.697582,-123.296303
"103","15-287",48.857265,-123.307587
"104","16-276",48.862099,-123.339363
"105","15-284",48.856449,-123.313866
"106","15-285",48.855717,-123.310616
"107","25-446",48.724834,-123.200119
"108","5-149",48.678383,-123.279335
"109","12-340",48.822819,-123.181702
"110","12-329",48.83778,-123.207802
"111","12-343",48.833752,-123.157013
"112","8-395",48.775501,-123.054497
"113","21-492",48.68515,-123.342346
"114","21-491",48.686016,-123.339249
"115","16-269",48.853035,-123.357185
"116","14-292",48.868198,-123.307983
"117","8-404",48.765118,-123.080383
"118","9-382",48.795483,-123.045731
"119","22-502",48.676617,-123.373085
"120","19-189",48.738415,-123.346481
"121","21-493",48.684284,-123.345436
"122","5-130",48.6418,-123.2864
"123","5-129",48.639885,-123.288216
"124","6-471",48.70335,-123.277283
"125","2-71",48.5835,-123.301682
"126","1-38",48.647083,-123.355247
"127","1-40",48.642818,-123.353287
"128","1-49",48.623734,-123.344353
"129","1-50",48.621799,-123.343048
"130","21-163",48.696384,-123.309914
"131","14-294",48.870701,-123.302452
"132","1-34",48.655716,-123.359299
"133","2-63",48.598068,-123.317398
"134","2-67",48.590782,-123.309547
"135","3-81",48.575802,-123.273849
"136","1-41",48.640717,-123.352303
"137","22-3",48.67255,-123.398834
"138","2-52",48.618149,-123.339119
"139","2-55",48.612617,-123.33313
"140","21-183",48.725334,-123.341248
"141","19-196",48.753433,-123.352501
"142","2-70",48.585266,-123.303566
"143","13-303",48.873116,-123.276718
"144","4-95",48.576599,-123.255966
"145","22-503",48.675682,-123.376152
"146","22-501",48.677368,-123.370102
"147","1-47",48.627983,-123.346397
"148","15-289",48.861683,-123.307884
"149","14-295",48.87215,-123.299866
"150","5-138",48.657017,-123.272232
"151","17-262",48.844116,-123.372215
"152","9-378",48.801765,-123.0541
"153","1-31",48.661999,-123.362251
"154","22-29",48.666367,-123.364235
"155","22-1",48.671082,-123.404999
"156","14-297",48.87455,-123.294403
"157","21-162",48.696682,-123.30648
"158","18-229",48.819416,-123.389969
"159","18-240",48.837116,-123.408813
"160","3-83",48.571617,-123.271767
"161","14-296",48.873283,-123.297096
"162","18-230",48.821033,-123.387985
"163","21-187",48.7341,-123.344803
"164","21-184",48.727531,-123.342117
"165","21-482",48.693901,-123.311119
"166","25-443",48.727402,-123.190918
"167","18-239",48.835098,-123.4076
"168","5-160",48.697182,-123.299736
"169","22-15",48.685699,-123.38987
"170","22-19",48.677532,-123.387001
"171","24-121",48.625065,-123.283783
"172","24-123",48.628765,-123.28775
"173","23-367",48.812218,-123.087631
"174","24-118",48.619385,-123.277718
"175","23-371",48.808399,-123.075447
"176","5-156",48.691982,-123.291168
"177","8-394",48.776649,-123.051613
"178","25-435",48.735298,-123.170517
"179","21-166",48.695484,-123.32
"180","9-387",48.785767,-123.042419
"181","9-383",48.793568,-123.044235
"182","19-201",48.764168,-123.356819
"183","19-193",48.746967,-123.349915
"184","19-191",48.742699,-123.348198
"185","14-300",48.875851,-123.285965
"186","8-410",48.758484,-123.097702
"187","19-205",48.7728,-123.360535
"188","19-188",48.736252,-123.345619
"189","21-174",48.705967,-123.333504
"190","21-490",48.686901,-123.336151
"191","14-293",48.86945,-123.305267
"192","18-241",48.839085,-123.410034
"193","4-99",48.585182,-123.252235
"194","6-468",48.705917,-123.268066
"195","14-301",48.874882,-123.282852
"196","14-302",48.874016,-123.279846
"197","18-221",48.805649,-123.381935
"198","16-281",48.858582,-123.323463
"199","16-282",48.857868,-123.320236
"200","17-263",48.845531,-123.369835
"201","21-483",48.693016,-123.314247
"202","22-498",48.68,-123.360748
"203","13-309",48.867535,-123.258904
"204","6-464",48.709366,-123.255669
"205","16-275",48.861965,-123.342148
"206","22-6",48.676266,-123.394417
"207","3-74",48.57795,-123.295883
"208","2-60",48.603634,-123.323219
"209","1-33",48.657799,-123.360283
"210","18-226",48.815666,-123.388451
"211","19-207",48.776951,-123.363235
"212","2-65",48.594398,-123.313454
"213","19-204",48.770649,-123.35952
"214","13-315",48.861183,-123.241348
"215","12-325",48.850716,-123.2118
"216","6-454",48.717968,-123.22477
"217","6-455",48.717152,-123.227768
"218","21-180",48.718899,-123.338669
"219","21-185",48.729683,-123.342987
"220","5-133",48.647469,-123.28112
"221","5-135",48.651283,-123.277565
"222","13-313",48.863266,-123.247101
"223","2-61",48.601768,-123.321381
"224","5-155",48.690033,-123.289482
"225","2-66",48.592583,-123.311501
"226","2-64",48.596249,-123.31543
"227","2-69",48.587067,-123.305519
"228","6-465",48.7085,-123.258797
"229","2-57",48.609032,-123.329269
"230","3-90",48.565983,-123.260597
"231","4-97",48.580917,-123.254097
"232","3-72",48.581699,-123.299713
"233","4-108",48.600933,-123.258003
"234","19-209",48.781052,-123.365868
"235","21-186",48.731884,-123.343933
"236","19-190",48.740532,-123.347351
"237","19-195",48.751251,-123.351631
"238","8-401",48.768566,-123.071785
"239","5-478",48.697334,-123.298813
"240","12-318",48.857948,-123.232452
"241","12-322",48.853767,-123.220833
"242","2-58",48.607201,-123.327286
"243","2-68",48.588932,-123.307549
"244","4-102",48.591648,-123.24942
"245","5-132",48.645599,-123.282852
"246","21-182",48.723167,-123.34037
"247","4-110",48.604683,-123.261986
"248","4-103",48.593552,-123.250053
"249","5-154",48.688084,-123.287766
"250","2-51",48.619984,-123.341103
"251","1-37",48.649216,-123.35627
"252","3-75",48.577568,-123.29277
"253","1-32",48.659916,-123.361267
"254","21-170",48.697418,-123.330147
"255","4-109",48.602882,-123.260048
"256","21-494",48.683434,-123.348503
"257","4-96",48.578716,-123.255051
"258","13-306",48.870419,-123.267563
"259","19-216",48.795368,-123.375214
"260","25-432",48.738899,-123.162117
"261","25-434",48.736366,-123.167564
"262","10-349",48.828201,-123.13913
"263","9-390",48.781151,-123.040352
"264","6-457",48.715401,-123.234016
"265","6-458",48.714535,-123.237152
"266","6-466",48.707634,-123.261902
"267","8-419",48.755051,-123.125916
"268","24-125",48.632381,-123.291649
"269","3-79",48.576801,-123.279518
"270","3-77",48.577183,-123.286201
"271","24-120",48.623199,-123.281799
"272",NA,NA,NA
"273","22-499",48.679134,-123.363815
"274","15-288",48.859535,-123.307747
"275","8-412",48.758335,-123.10437
"276","22-25",48.673416,-123.36985
"277","3-88",48.562752,-123.264664
"278","22-12",48.688316,-123.3965
"279","2-53",48.616333,-123.337151
"280","3-82",48.57375,-123.272751
"281","1-36",48.651451,-123.3573
"282","12-326",48.849785,-123.208763
"283","23-368",48.811268,-123.084587
"284","23-369",48.810318,-123.081535
"285","6-450",48.721416,-123.212402
"286","19-219",48.801552,-123.379318
"287","2-54",48.614449,-123.335114
"288","5-142",48.66465,-123.26738
"289","12-342",48.834702,-123.160034
"290","25-447",48.723969,-123.203247
"291","6-448",48.723118,-123.206337
"292","25-444",48.726566,-123.19397
"293","15-290",48.863998,-123.308037
"294","22-22",48.674702,-123.37973
"295","1-46",48.63015,-123.347153
"296","4-105",48.597233,-123.253983
"297","21-181",48.721001,-123.339516
"298","18-228",48.817635,-123.389717
"299","8-392",48.778915,-123.045952
"300","10-354",48.823502,-123.123985
"301","12-337",48.82629,-123.186996
"302","18-220",48.803616,-123.3806
"303","19-200",48.7621,-123.355965
"304","8-397",48.773182,-123.060265
"305","1-30",48.664185,-123.363281
"306","1-35",48.653584,-123.358299
"307","3-73",48.579849,-123.297752
"308","21-164",48.696068,-123.313263
"309","8-396",48.774334,-123.057404
"310","13-305",48.871265,-123.270569
"311","5-141",48.662735,-123.267036
"312","25-441",48.729149,-123.184685
"313","6-472",48.702484,-123.280365
"314","19-210",48.783051,-123.367218
"315","17-251",48.850765,-123.4058
"316","13-312",48.864265,-123.250031
"317","12-333",48.83234,-123.197403
"318","23-364",48.815048,-123.096832
"319","23-362",48.816933,-123.102898
"320","8-418",48.756268,-123.123154
"321","4-113",48.610134,-123.267799
"322","2-56",48.610832,-123.3312
"323","22-13",48.6889,-123.393486
"324","6-470",48.704201,-123.274216
"325","24-116",48.61565,-123.273735
"326","15-283",48.857182,-123.316986
"327","4-98",48.583015,-123.253181
"328","22-506",48.673115,-123.385353
"329","1-42",48.638634,-123.351349
"330","22-2",48.671715,-123.40197
"331","3-91",48.568134,-123.259651
"332","22-23",48.674267,-123.376419
"333","24-128",48.637917,-123.290001
"334","18-237",48.831001,-123.405113
"335","15-291",48.8661,-123.308083
"336","17-259",48.846218,-123.380867
"337","17-264",48.84705,-123.367233
"338","16-278",48.860699,-123.332985
"339","16-270",48.854549,-123.354652
"340","19-199",48.759949,-123.355103
"341","22-507",48.672234,-123.38842
"342","12-338",48.838451,-123.17218
"343","10-355",48.822552,-123.120949
"344","8-409",48.759384,-123.094719
"345","6-459",48.713684,-123.240219
"346","8-405",48.763966,-123.083267
"347","6-460",48.7127,-123.243301
"348","25-440",48.730232,-123.181534
"349","8-402",48.767418,-123.074654
"350","12-339",48.837502,-123.169098
"351","8-413",48.758301,-123.107651
"352","8-398",48.772018,-123.063187
"353","6-474",48.700748,-123.286514
"354","8-422",48.751282,-123.134369
"355","8-420",48.753784,-123.1287
"356","5-150",48.680367,-123.281067
"357","21-489",48.687752,-123.333015
"358","25-439",48.731518,-123.178703
"359","21-178",48.714615,-123.336952
"360","12-347",48.830051,-123.145065
"361","17-261",48.844433,-123.374847
"362","17-258",48.84705,-123.384018
"363","18-244",48.845215,-123.410767
"364","17-253",48.85165,-123.3993
"365","19-198",48.757782,-123.354248
"366","23-365",48.814098,-123.09375
"367","13-317",48.859016,-123.235352
"368","21-171",48.699615,-123.330948
"369","18-242",48.841099,-123.411247
"370","17-257",48.848,-123.386902
"371","24-127",48.636032,-123.291763
"372","4-93",48.572384,-123.257797
"373","6-452",48.719734,-123.218498
"374","4-106",48.599133,-123.256035
"375","21-175",48.708149,-123.334366
"376","21-497",48.680832,-123.357735
"377","10-356",48.821617,-123.117935
"378","22-508",48.671768,-123.391464
"379","5-144",48.668598,-123.270813
"380","6-473",48.701618,-123.283432
"381","5-157",48.693916,-123.292847
"382","5-153",48.68605,-123.286087
"383","22-500",48.678299,-123.366936
"384","5-146",48.672565,-123.274284
"385","4-101",48.589535,-123.250351
"386","21-496",48.681702,-123.354683
"387","17-260",48.845215,-123.377831
"388","6-475",48.699917,-123.289536
"389","10-375",48.804668,-123.06337
"390","16-273",48.858967,-123.347282
"391","8-411",48.758484,-123.100983
"392","17-256",48.8489,-123.389969
"393","22-18",48.679733,-123.387367
"394","22-21",48.675152,-123.383064
"395","9-379",48.80085,-123.051147
"396","21-179",48.716702,-123.337799
"397","12-346",48.830952,-123.14798
"398","12-327",48.848835,-123.205704
"399","22-504",48.674816,-123.379219
"400","22-509",48.671532,-123.394783
"401","21-488",48.688618,-123.329964
"402","8-421",48.752533,-123.131531
"403","21-479",48.696484,-123.301834
"404","13-316",48.8601,-123.238319
"405","17-252",48.851284,-123.40258
"406","17-265",48.848549,-123.364731
"407","16-279",48.859982,-123.329765
"408","12-323",48.852684,-123.21785
"409","23-361",48.817883,-123.105904
"410","4-94",48.574482,-123.256882
"411","5-158",48.69585,-123.294533
"412","21-167",48.695183,-123.323318
"413","3-78",48.577,-123.282883
"414","18-223",48.809685,-123.384552
"415","8-406",48.762817,-123.086014
"416","6-449",48.722282,-123.209297
"417","16-266",48.849998,-123.362282
"418","5-136",48.653168,-123.275833
"419","23-379",48.80085,-123.051147
"420","1-43",48.636566,-123.350349
"421","22-4",48.673248,-123.395752
"422","5-147",48.67445,-123.276031
"423","3-89",48.564301,-123.262283
"424","21-480",48.695618,-123.304916
"425","16-280",48.859249,-123.326515
"426","9-381",48.797085,-123.047417
"427","21-161",48.696968,-123.303116
"428","21-484",48.692101,-123.317497
"429","18-222",48.807682,-123.383247
"430","19-206",48.774849,-123.361885
"431","22-512",48.671234,-123.404785
"432","21-485",48.691216,-123.320648
"433","5-134",48.649368,-123.279381
"434","3-92",48.570232,-123.258751
"435","1-39",48.644966,-123.354301
"436","22-505",48.67395,-123.382301
"437","22-510",48.671398,-123.398033
"438","21-176",48.71035,-123.335266
"439","19-214",48.791302,-123.372566
"440","19-194",48.749134,-123.350784
"441","25-445",48.725685,-123.197098
"442","10-368",48.811268,-123.084587
"443","8-400",48.769718,-123.068932
"444","23-375",48.804668,-123.06337
"445","10-350",48.827232,-123.136047
"446","8-430",48.741383,-123.15657
"447","6-467",48.706749,-123.26503
"448","6-463",48.710217,-123.252617
"449","23-385",48.789234,-123.044899
"450","10-352",48.825367,-123.13002
"451","21-177",48.712502,-123.336113
"452","8-403",48.766266,-123.077515
"453","18-243",48.843285,-123.412331
"454","12-324",48.851665,-123.214882
"455","12-348",48.829033,-123.142235
"456","22-511",48.671249,-123.401413
"457","12-345",48.831902,-123.151047
"458","13-304",48.872215,-123.273598
"459","19-215",48.793301,-123.373886
"460","19-208",48.778965,-123.364548
"461","23-370",48.809349,-123.078468
"462","8-408",48.760502,-123.091934
"463","23-374",48.805599,-123.066399
"464","8-399",48.770817,-123.066063
"465","12-328",48.847851,-123.202553
"466","18-232",48.823849,-123.39238
"467","19-211",48.785118,-123.368553
"468","19-203",48.768482,-123.358513
"469","10-370",48.809349,-123.078468
"470","13-311",48.865368,-123.252914
"471","8-423",48.75005,-123.1371
"472","13-307",48.869652,-123.264732
"473","8-425",48.747566,-123.142685
"474","10-367",48.812218,-123.087631
"475","18-225",48.813717,-123.387169
"476","8-427",48.745083,-123.148232
"477","8-391",48.780048,-123.043137
"478","10-359",48.819752,-123.111916
"479","5-477",48.698166,-123.295769
"480","6-456",48.716282,-123.230904
"481","12-321",48.854816,-123.223785
"482","8-426",48.746315,-123.14547
"483","10-353",48.824432,-123.127014
"484","6-469",48.705067,-123.271103
"485","10-357",48.820702,-123.114967
"486","23-366",48.813148,-123.090698
"487","12-341",48.835617,-123.163017
"488","23-373",48.806549,-123.069466
"489","5-131",48.643684,-123.28463
"490","6-453",48.718849,-123.221634
"491","8-431",48.740135,-123.159401
"492","12-319",48.856899,-123.2295
"493","23-382",48.795483,-123.045731
"494","19-213",48.789234,-123.371284
"495","12-344",48.832802,-123.153931
"496","132",49.294092,-122.862391
"497","197",49.3302,-123.26185
"498","65",49.449442,-122.875524
"499","182",49.333625,-123.189008
"500","185",49.338033,-123.205666
"501","186",49.338458,-123.211633
"502","217",49.283033,-123.226666
"503","162",49.307083,-123.080708
"504","54",49.441808,-122.860049
"505","206",49.293125,-123.264958
"506","245",49.301291,-123.161283
"507","61",49.463965,-122.883826
"508","126",49.290717,-122.866383
"509","170",49.311692,-123.127349
"510","95",49.338358,-122.923942
"511","12",49.306958,-122.930891
"512","122",49.293125,-122.891558
"513","207",49.288975,-123.264966
"514","229",49.27745,-123.155092
"515","203",49.305775,-123.264933
"516","211",49.27965,-123.256117
"517","89",49.356733,-122.90045
"518","5",49.293708,-122.904108
"519","64",49.453266,-122.878416
"520","260",49.294992,-123.131466
"521","180",49.33065,-123.177591
"522","288",49.2902,-122.961749
"523","148",49.298733,-122.99835
"524","233",49.274192,-123.135924
"525","109",49.300258,-122.952725
"526","128",49.284708,-122.857233
"527","4",49.294667,-122.898291
"528","130",49.288725,-122.852933
"529","183",49.3347,-123.194933
"530","74",49.41215,-122.879308
"531","8",49.293966,-122.921049
"532","52",49.433117,-122.856683
"533","205",49.297375,-123.26495
"534","29",49.33845,-122.89285
"535","67",49.441175,-122.874783
"536","87",49.360817,-122.890542
"537","173",49.318241,-123.143066
"538","263",49.290083,-123.106091
"539","270",49.290592,-123.069775
"540","99",49.32865,-122.944033
"541","18",49.326667,-122.923658
"542","125",49.292775,-122.872316
"543","160",49.304308,-123.070316
"544","17",49.323583,-122.927433
"545","36",49.367275,-122.876958
"546","118",49.2907,-122.915583
"547","103",49.319158,-122.937083
"548","147",49.3011,-122.993725
"549","228",49.275758,-123.160367
"550","165",49.309966,-123.096775
"551","166",49.309466,-123.102908
"552","30",49.342883,-122.892291
"553","129",49.284942,-122.853792
"554","151",49.29595,-123.016467
"555","284",49.295825,-122.985366
"556","189",49.3394,-123.229766
"557","192",49.338358,-123.246208
"558","237",49.271308,-123.115092
"559","46",49.407042,-122.864592
"560","108",49.303116,-122.947825
"561","187",49.338,-123.217617
"562","219",49.279825,-123.214374
"563","209",49.280167,-123.264966
"564","115",49.293608,-122.933167
"565","106",49.310177,-122.946228
"566","152",49.295589,-123.02242
"567","259",49.293475,-123.125183
"568","25",49.3178,-122.9154
"569","262",49.290642,-123.112458
"570","241",49.287958,-123.148099
"571","144",49.305117,-122.979058
"572","14",49.314066,-122.932616
"573","1",49.298892,-122.880456
"574","154",49.296658,-123.035166
"575","51",49.428792,-122.856367
"576","141",49.300275,-122.962166
"577","121",49.291742,-122.897225
"578","35",49.363258,-122.879942
"579","218",49.281633,-123.220266
"580","149",49.297091,-123.004166
"581","176",49.3251,-123.156658
"582","159",49.3039,-123.06465
"583","278",49.294325,-123.021591
"584","28",49.334392,-122.895425
"585","113",49.292633,-122.946858
"586","134",49.2985,-122.873341
"587","177",49.325717,-123.162425
"588","82",49.379542,-122.880433
"589","139",49.297483,-122.950541
"590","254",49.30415,-123.125883
"591","42",49.390233,-122.871608
"592","131",49.292,-122.856608
"593","215",49.285233,-123.238674
"594","47",49.411049,-122.861483
"595","6",49.292708,-122.909958
"596","120",49.290175,-122.902816
"597","191",49.337408,-123.240449
"598","244",49.297658,-123.159383
"599","248",49.311833,-123.154125
"600","116",49.293333,-122.926974
"601","117",49.291717,-122.921699
"602","10",49.29975,-122.928691
"603","242",49.291525,-123.150616
"604","100",49.326883,-122.942299
"605","15",49.317325,-122.934025
"606","194",49.336583,-123.252141
"607","276",49.292666,-123.034191
"608","225",49.273891,-123.179091
"609","85",49.368958,-122.886733
"610","146",49.3038,-122.989766
"611","21",49.331166,-122.910317
"612","224",49.274825,-123.184883
"613","202",49.309825,-123.264925
"614","71",49.424142,-122.873425
"615","133",49.296142,-122.867874
"616","39",49.378158,-122.868433
"617","107",49.306516,-122.945691
"618","171",49.313867,-123.133016
"619","60",49.463542,-122.880621
"620","105",49.314158,-122.945058
"621","169",49.309817,-123.121066
"622","285",49.294183,-122.979333
"623","26",49.31489,-122.918392
"624","33",49.354758,-122.886375
"625","140",49.298502,-122.957658
"626","172",49.31625,-123.137566
"627","216",49.283742,-123.232766
"628","102",49.3228,-122.934583
"629","19",49.329542,-122.920167
"630","23",49.325167,-122.91005
"631","24",49.321541,-122.913075
"632","238",49.273183,-123.10935
"633","32",49.350875,-122.889542
"634","178",49.325933,-123.168299
"635","271",49.29165,-123.064033
"636","55",49.445867,-122.862558
"637","251",49.313367,-123.138691
"638","283",49.2957,-122.990683
"639","145",49.30565,-122.984741
"640","181",49.332466,-123.182874
"641","246",49.305058,-123.159225
"642","43",49.394633,-122.872741
"643","235",49.269742,-123.126733
"644","114",49.293233,-122.940375
