"","record_id","collection","project_id","protocol_id","protocol_type","species_id","statprov_code","country_code","SiteCode","latitude","longitude","bcr","subnational2_code","iba_site","utm_square","survey_year","survey_month","survey_week","survey_day","breeding_rank","GlobalUniqueIdentifier","DateLastModified","BasisOfRecord","InstitutionCode","CollectionCode","CatalogNumber","ScientificName","HigherTaxon","Kingdom","Phylum","Class","OrderTaxon","Family","Genus","SpecificEpithet","InfraspecificRank","InfraspecificEpithet","ScientificNameAuthor","IdentificationQualifier","HigherGeography","Continent","WaterBody","IslandGroup","Island","Country","StateProvince","County","Locality","MinimumElevationInMeters","MaximumElevationInMeters","MinimumDepthInMeters","MaximumDepthInMeters","DecimalLatitude","DecimalLongitude","GeodeticDatum","CoordinateUncertaintyInMeters","YearCollected","MonthCollected","DayCollected","TimeCollected","JulianDay","Collector","Sex","LifeStage","ImageURL","RelatedInformation","CollectorNumber","FieldNumber","FieldNotes","OriginalCoordinatesSystem","LatLongComments","GeoreferenceMethod","GeoreferenceReferences","GeoreferenceVerificationStatus","Remarks","FootprintWKT","FootprintSRS","ProjectCode","ProtocolType","ProtocolCode","ProtocolSpeciesTargeted","ProtocolReference","ProtocolURL","SurveyAreaIdentifier","SurveyAreaSize","SurveyAreaPercentageCovered","SurveyAreaShape","SurveyAreaLongAxisLength","SurveyAreaShortAxisLength","SurveyAreaLongAxisOrientation","CoordinatesScope","SamplingEventIdentifier","SamplingEventStructure","RouteIdentifier","TimeObservationsStarted","TimeObservationsEnded","DurationInHours","TimeIntervalStarted","TimeIntervalEnded","TimeIntervalsAdditive","NumberOfObservers","EffortMeasurement1","EffortUnits1","EffortMeasurement2","EffortUnits2","EffortMeasurement3","EffortUnits3","EffortMeasurement4","EffortUnits4","EffortMeasurement5","EffortUnits5","EffortMeasurement6","EffortUnits6","EffortMeasurement7","EffortUnits7","EffortMeasurement8","EffortUnits8","EffortMeasurement9","EffortUnits9","EffortMeasurement10","EffortUnits10","EffortMeasurement11","EffortUnits11","EffortMeasurement12","EffortUnits12","EffortMeasurement13","EffortUnits13","EffortMeasurement14","EffortUnits14","EffortMeasurement15","EffortUnits15","EffortMeasurement16","EffortUnits16","EffortMeasurement17","EffortUnits17","EffortMeasurement18","EffortUnits18","NoObservations","DistanceFromObserver","DistanceFromObserverMin","DistanceFromObserverMax","DistanceFromStart","BearingInDegrees","SpecimenDecimalLatitude","SpecimenDecimalLongitude","SpecimenGeodeticDatum","SpecimenUTMZone","SpecimenUTMNorthing","SpecimenUTMEasting","ObservationCount","ObservationDescriptor","ObservationCount2","ObservationDescriptor2","ObservationCount3","ObservationDescriptor3","ObservationCount4","ObservationDescriptor4","ObservationCount5","ObservationDescriptor5","ObservationCount6","ObservationDescriptor6","ObsCountAtLeast","ObsCountAtMost","ObservationDate","DateUncertaintyInDays","AllIndividualsReported","AllSpeciesReported","UTMZone","UTMNorthing","UTMEasting","CoordinatesUncertaintyInDecimalDegrees","CommonName","RecordPermissions","MultiScientificName1","MultiScientificName2","MultiScientificName3","MultiScientificName4","MultiScientificName5","MultiScientificName6","TaxonomicAuthorityAuthors","TaxonomicAuthorityVersion","TaxonomicAuthorityYear","SpeciesCode","TaxonConceptID","BreedingBirdAtlasCode","HabitatDescription","Remarks2","LastModifiedAction","RecordReviewStatus","year","month"
"1",968198009,"BCMA",1008,NA,3,420,"BC","CA","22-5",48.674149,-123.393333,NA,NA,NA,"10TDU79",2009,2,1,4,NA,"URN:catalog:BSC-EOC:BCMA:27-AMWI-304",NA,"Observation","BSC-EOC","BCMA","27-AMWI","Mareca americana","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Anas","americana",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Goudge - Coal - Dock Islands",NA,NA,NA,NA,"48.6741","-123.393",NA,NA,"2009","2","4","9.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","22-5",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-27","SurveyID",NA,"9.7","10.0833","0.383333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Total count",NA,"Port section",NA,"Central section","3","Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"American Wigeon",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","AMWI",NA,NA,NA,NA,NA,NA,2009,2
"2",968198010,"BCMA",1008,NA,3,420,"BC","CA","22-17",48.681965,-123.387817,NA,NA,NA,"10TDU79",2009,2,1,4,NA,"URN:catalog:BSC-EOC:BCMA:27-AMWI-342",NA,"Observation","BSC-EOC","BCMA","27-AMWI","Mareca americana","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Anas","americana",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Goudge - Coal - Dock Islands",NA,NA,NA,NA,"48.682","-123.388",NA,NA,"2009","2","4","9.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","22-17",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-27","SurveyID",NA,"9.7","10.0833","0.383333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","Total count",NA,"Port section",NA,"Central section","12","Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"American Wigeon",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","AMWI",NA,NA,NA,NA,NA,NA,2009,2
"3",968198011,"BCMA",1008,NA,3,420,"BC","CA","22-7",48.678383,-123.395447,NA,NA,NA,"10TDU79",2009,2,4,27,NA,"URN:catalog:BSC-EOC:BCMA:5-AMWI-2001",NA,"Observation","BSC-EOC","BCMA","5-AMWI","Mareca americana","AnimaliaChordataAvesAnseriformes8","Animalia","Chordata","Aves","Anseriformes","8","Anas","americana",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Goudge - Coal - Dock Islands",NA,NA,NA,NA,"48.6784","-123.395",NA,NA,"2009","2","27","9.58333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","22-7",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-5","SurveyID",NA,"9.58333","9.98333","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","Total count",NA,"Port section","42","Central section",NA,"Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"American Wigeon",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","AMWI",NA,NA,NA,NA,NA,NA,2009,2
"4",968198012,"BCMA",1008,NA,3,5850,"BC","CA","10-360",48.818802,-123.108849,NA,NA,NA,"10UDV90",2009,1,2,15,NA,"URN:catalog:BSC-EOC:BCMA:130-ANMU-2321",NA,"Observation","BSC-EOC","BCMA","130-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"North Saturna (Bell Chain Is - Tumbo)",NA,NA,NA,NA,"48.8188","-123.109",NA,NA,"2009","1","15","14.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","10-360",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-130","SurveyID",NA,"14.65","14.8333","0.183333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Total count",NA,"Port section","2","Central section",NA,"Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2009,1
"5",968198013,"BCMA",1008,NA,3,5850,"BC","CA","6-462",48.711082,-123.249565,NA,NA,NA,"10TDU89",2009,1,2,15,NA,"URN:catalog:BSC-EOC:BCMA:135-ANMU-1986",NA,"Observation","BSC-EOC","BCMA","135-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Swanson Channel East",NA,NA,NA,NA,"48.7111","-123.25",NA,NA,"2009","1","15","16.0667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","6-462",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-135","SurveyID",NA,"16.0667","16.4167","0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Total count","5","Port section",NA,"Central section",NA,"Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2009,1
"6",968198014,"BCMA",1008,NA,3,5850,"BC","CA","2-62",48.599934,-123.319397,NA,NA,NA,"10TDU78",2008,11,3,18,NA,"URN:catalog:BSC-EOC:BCMA:83-ANMU-1342",NA,"Observation","BSC-EOC","BCMA","83-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Sidney Channel",NA,NA,NA,NA,"48.5999","-123.319",NA,NA,"2008","11","18","10.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","2-62",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-83","SurveyID",NA,"10.35","10.5833","0.233333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Total count",NA,"Port section","3","Central section",NA,"Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2008,11
"7",968198015,"BCMA",1008,NA,3,5850,"BC","CA","4-100",48.587349,-123.251297,NA,NA,NA,"10TDU88",2008,11,3,18,NA,"URN:catalog:BSC-EOC:BCMA:85-ANMU-1380",NA,"Observation","BSC-EOC","BCMA","85-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Haro Strait South",NA,NA,NA,NA,"48.5873","-123.251",NA,NA,"2008","11","18","10.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","4-100",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-85","SurveyID",NA,"10.85","11.1667","0.316667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Total count",NA,"Port section","5","Central section",NA,"Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2008,11
"8",968198016,"BCMA",1008,NA,3,5850,"BC","CA","4-111",48.606533,-123.263916,NA,NA,NA,"10TDU88",2008,11,3,18,NA,"URN:catalog:BSC-EOC:BCMA:85-ANMU-1401",NA,"Observation","BSC-EOC","BCMA","85-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Haro Strait South",NA,NA,NA,NA,"48.6065","-123.264",NA,NA,"2008","11","18","10.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","4-111",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-85","SurveyID",NA,"10.85","11.1667","0.316667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","Total count",NA,"Port section","6","Central section","2","Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2008,11
"9",968198017,"BCMA",1008,NA,3,5850,"BC","CA","4-112",48.608318,-123.265884,NA,NA,NA,"10TDU88",2008,11,3,18,NA,"URN:catalog:BSC-EOC:BCMA:85-ANMU-1406",NA,"Observation","BSC-EOC","BCMA","85-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Haro Strait South",NA,NA,NA,NA,"48.6083","-123.266",NA,NA,"2008","11","18","10.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","4-112",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-85","SurveyID",NA,"10.85","11.1667","0.316667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","Total count",NA,"Port section","20","Central section","7","Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2008,11
"10",968198018,"BCMA",1008,NA,3,5850,"BC","CA","24-114",48.611965,-123.269768,NA,NA,NA,"10TDU88",2008,11,3,18,NA,"URN:catalog:BSC-EOC:BCMA:86-ANMU-1425",NA,"Observation","BSC-EOC","BCMA","86-ANMU","Synthliboramphus antiquus","AnimaliaChordataAvesCharadriiformes55","Animalia","Chordata","Aves","Charadriiformes","55","Synthliboramphus","antiquus",NA,NA,NA,NA,"NorthAmericaCanadaBritishColumbia","North America",NA,NA,NA,"Canada","British Columbia",NA,"Halibut-Mandarte",NA,NA,NA,NA,"48.612","-123.27",NA,NA,"2008","11","18","11.1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCWS","Transect","BCMA","Seabirds","Bird Studies Canada, 2008","http://www.bsc-eoc.org/volunteer/bccws/index.jsp","24-114",NA,NA,"Variable",NA,NA,NA,"Waypoint","BCMA-86","SurveyID",NA,"11.1833","11.5667","0.383333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","Total count",NA,"Port section","12","Central section",NA,"Board section",NA,"Rocks",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"Ancient Murrelet",NA,NA,NA,NA,NA,NA,NA,"AOU","7.48","2007","ANMU",NA,NA,NA,NA,NA,NA,2008,11
