"","field_order","version","local_name"
"1",1,"BMDE2.00","GlobalUniqueIdentifier"
"2",2,"BMDE2.00","DateLastModified"
"3",3,"BMDE2.00","BasisOfRecord"
"4",4,"BMDE2.00","InstitutionCode"
"5",5,"BMDE2.00","CollectionCode"
"6",6,"BMDE2.00","CatalogNumber"
"7",7,"BMDE2.00","ScientificName"
"8",8,"BMDE2.00","HigherTaxon"
"9",9,"BMDE2.00","Kingdom"
"10",10,"BMDE2.00","Phylum"
"11",11,"BMDE2.00","Class"
"12",12,"BMDE2.00","OrderTaxon"
"13",13,"BMDE2.00","Family"
"14",14,"BMDE2.00","Genus"
"15",15,"BMDE2.00","SpecificEpithet"
"16",16,"BMDE2.00","InfraspecificRank"
"17",17,"BMDE2.00","InfraspecificEpithet"
"18",18,"BMDE2.00","ScientificNameAuthor"
"19",19,"BMDE2.00","IdentificationQualifier"
"20",20,"BMDE2.00","HigherGeography"
"21",21,"BMDE2.00","Continent"
"22",22,"BMDE2.00","WaterBody"
"23",23,"BMDE2.00","IslandGroup"
"24",24,"BMDE2.00","Island"
"25",25,"BMDE2.00","Country"
"26",26,"BMDE2.00","StateProvince"
"27",27,"BMDE2.00","County"
"28",28,"BMDE2.00","Locality"
"29",29,"BMDE2.00","MinimumElevationInMeters"
"30",30,"BMDE2.00","MaximumElevationInMeters"
"31",31,"BMDE2.00","MinimumDepthInMeters"
"32",32,"BMDE2.00","MaximumDepthInMeters"
"33",33,"BMDE2.00","DecimalLatitude"
"34",34,"BMDE2.00","DecimalLongitude"
"35",35,"BMDE2.00","GeodeticDatum"
"36",36,"BMDE2.00","CoordinateUncertaintyInMeters"
"37",37,"BMDE2.00","YearCollected"
"38",38,"BMDE2.00","MonthCollected"
"39",39,"BMDE2.00","DayCollected"
"40",40,"BMDE2.00","TimeCollected"
"41",41,"BMDE2.00","JulianDay"
"42",42,"BMDE2.00","Collector"
"43",43,"BMDE2.00","Sex"
"44",44,"BMDE2.00","LifeStage"
"45",45,"BMDE2.00","ImageURL"
"46",46,"BMDE2.00","RelatedInformation"
"47",47,"BMDE2.00","CollectorNumber"
"48",48,"BMDE2.00","FieldNumber"
"49",49,"BMDE2.00","FieldNotes"
"50",50,"BMDE2.00","OriginalCoordinatesSystem"
"51",51,"BMDE2.00","LatLongComments"
"52",52,"BMDE2.00","GeoreferenceMethod"
"53",53,"BMDE2.00","GeoreferenceReferences"
"54",54,"BMDE2.00","GeoreferenceVerificationStatus"
"55",55,"BMDE2.00","Remarks"
"56",56,"BMDE2.00","FootprintWKT"
"57",57,"BMDE2.00","FootprintSRS"
"58",58,"BMDE2.00","ProjectCode"
"59",59,"BMDE2.00","ProtocolType"
"60",60,"BMDE2.00","ProtocolCode"
"61",61,"BMDE2.00","ProtocolSpeciesTargeted"
"62",62,"BMDE2.00","ProtocolReference"
"63",63,"BMDE2.00","ProtocolURL"
"64",64,"BMDE2.00","SurveyAreaIdentifier"
"65",65,"BMDE2.00","SurveyAreaSize"
"66",66,"BMDE2.00","SurveyAreaPercentageCovered"
"67",67,"BMDE2.00","SurveyAreaShape"
"68",68,"BMDE2.00","SurveyAreaLongAxisLength"
"69",69,"BMDE2.00","SurveyAreaShortAxisLength"
"70",70,"BMDE2.00","SurveyAreaLongAxisOrientation"
"71",71,"BMDE2.00","CoordinatesScope"
"72",72,"BMDE2.00","SamplingEventIdentifier"
"73",73,"BMDE2.00","SamplingEventStructure"
"74",74,"BMDE2.00","RouteIdentifier"
"75",75,"BMDE2.00","TimeObservationsStarted"
"76",76,"BMDE2.00","TimeObservationsEnded"
"77",77,"BMDE2.00","DurationInHours"
"78",78,"BMDE2.00","TimeIntervalStarted"
"79",79,"BMDE2.00","TimeIntervalEnded"
"80",80,"BMDE2.00","TimeIntervalsAdditive"
"81",81,"BMDE2.00","NumberOfObservers"
"82",82,"BMDE2.00","EffortMeasurement1"
"83",83,"BMDE2.00","EffortUnits1"
"84",84,"BMDE2.00","EffortMeasurement2"
"85",85,"BMDE2.00","EffortUnits2"
"86",86,"BMDE2.00","EffortMeasurement3"
"87",87,"BMDE2.00","EffortUnits3"
"88",88,"BMDE2.00","EffortMeasurement4"
"89",89,"BMDE2.00","EffortUnits4"
"90",90,"BMDE2.00","EffortMeasurement5"
"91",91,"BMDE2.00","EffortUnits5"
"92",92,"BMDE2.00","EffortMeasurement6"
"93",93,"BMDE2.00","EffortUnits6"
"94",94,"BMDE2.00","EffortMeasurement7"
"95",95,"BMDE2.00","EffortUnits7"
"96",96,"BMDE2.00","EffortMeasurement8"
"97",97,"BMDE2.00","EffortUnits8"
"98",98,"BMDE2.00","EffortMeasurement9"
