OID_,abbrev,name,latitude,longitude,subnational_code,country_code,count_yr,cnt_dt,com_name,sci_name,how_many,totalspecies,editor_comment
59371,WAWE,Wenatchee,47.455052,-120.323017,US-WA,US,98,12/28/1997 0:00:00,Common Loon,Gavia immer,7,86,
280082,BCPI,Pender Islands,48.81403,-123.19732,CA-BC,CA,121,12/20/2020 0:00:00,American Wigeon,Anas americana,223,90,
113666,BCPA,Port Alberni,49.257308,-124.81396,CA-BC,CA,105,1/2/2005 0:00:00,Barrow's Goldeneye,Bucephala islandica,99,88,
135790,BCVE,Vernon,50.268618,-119.276852,CA-BC,CA,107,12/17/2006 0:00:00,Thayer's Gull,Larus thayeri,3,94,
37539,WATA,Tacoma,47.233482,-122.516741,US-WA,US,95,12/17/1994 0:00:00,Ring-billed Gull,Larus delawarensis,76,114,
76032,BCDU,Duncan,48.788176,-123.671391,CA-BC,CA,101,12/30/2000 0:00:00,Common Murre,Uria aalge,8,116,
37767,WATO,Toppenish N.W.R.,46.360946,-120.417948,US-WA,US,95,12/18/1994 0:00:00,Sharp-shinned Hawk,Accipiter striatus,7,79,
119330,WASI,Anacortes-Sidney,48.583278,-123.000571,US-WA,US,105,12/19/2004 0:00:00,Mallard,Anas platyrhynchos,2,29,
36759,WAPT,Port Townsend,48.05,-122.7333,US-WA,US,95,12/17/1994 0:00:00,American Goldfinch,Spinus tristis,0,101,
228868,BCVA,Vancouver,49.260262,-123.105012,CA-BC,CA,116,12/20/2015 0:00:00,Ruddy Duck,Oxyura jamaicensis,5,130,
180570,BCBV,Bridesville,49.060121,-119.220289,CA-BC,CA,112,12/30/2011 0:00:00,Great Gray Owl,Strix nebulosa,1,53,
146425,BCWR,White Rock-Surrey-Langley,49.062,-122.7289,CA-BC,CA,108,12/30/2007 0:00:00,Northern Pintail,Anas acuta,4680,126,
167345,WAKA,Kent-Auburn,47.359768,-122.178678,US-WA,US,110,12/27/2009 0:00:00,Greater Scaup,Aythya marila,38,120,
80680,WAGH,Grays Harbor,46.966709,-124.050002,US-WA,US,101,12/16/2000 0:00:00,Rock Sandpiper,Calidris ptilocnemis,4,111,
102682,BCDA,D'arcy-Birken,50.510541,-122.502622,CA-BC,CA,104,12/17/2003 0:00:00,Spotted Towhee,Pipilo maculatus,6,31,
66882,WAWK,Wahkiakum,46.191667,-123.466667,US-WA,US,99,12/30/1998 0:00:00,Tundra Swan,Cygnus columbianus,16,108,
227973,BCSI,Skidegate Inlet,53.211184,-131.987641,CA-BC,CA,116,12/20/2015 0:00:00,Greater Scaup,Aythya marila,231,72,
54244,BCPM,Pitt Meadows,49.283877,-122.672921,CA-BC,CA,98,12/28/1997 0:00:00,White-crowned Sparrow,Zonotrichia leucophrys,31,,
10045,WAKC,Kitsap County,47.632265,-122.660915,US-WA,US,91,12/30/1990 0:00:00,Greater Yellowlegs,Tringa melanoleuca,17,104,
121023,BCCA,Cawston,49.0961,-119.796,CA-BC,CA,106,12/29/2005 0:00:00,House Finch,Haemorhous mexicanus,990,72,
26220,BCPA,Port Alberni,49.257308,-124.81396,CA-BC,CA,94,1/2/1994 0:00:00,Northern Harrier,Circus cyaneus,3,,
93766,BCHC,Hat Creek,50.749435,-121.581044,CA-BC,CA,103,12/21/2002 0:00:00,Belted Kingfisher,Megaceryle alcyon,3,31,
40223,BCPH,Pender Harbour,49.674402,-124.015042,CA-BC,CA,96,12/20/1995 0:00:00,Pileated Woodpecker,Dryocopus pileatus,3,,
206635,BCSO,Sooke,48.344185,-123.671861,CA-BC,CA,114,12/28/2013 0:00:00,Killdeer,Charadrius vociferus,18,111,
159284,WASJ,San Juan Islands Archipelago,48.546237,-123.012979,US-WA,US,109,1/3/2009 0:00:00,Merlin,Falco columbarius,5,113,
128989,WASB,Skagit Bay,48.297314,-122.387913,US-WA,US,106,1/1/2006 0:00:00,Greater Scaup,Aythya marila,21,127,
8645,BCTE,Terrace,54.472861,-128.575008,CA-BC,CA,91,12/26/1990 0:00:00,Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],719,,
127123,WAEV,Everett-Marysville,48.086406,-122.216716,US-WA,US,106,12/17/2005 0:00:00,Varied Thrush,Ixoreus naevius,74,136,
141707,BCDB,Deep Bay,49.465746,-124.736161,CA-BC,CA,108,12/27/2007 0:00:00,House Finch,Haemorhous mexicanus,85,93,
161222,BCDA,D'arcy-Birken,50.510541,-122.502622,CA-BC,CA,110,12/14/2009 0:00:00,Cooper's Hawk,Accipiter cooperii,0,42,
177987,WAOL,Olympia,47.072247,-122.853297,US-WA,US,111,12/19/2010 0:00:00,Bonaparte's Gull,Chroicocephalus philadelphia,121,126,
2658,BCVE,Vernon,50.268618,-119.276852,CA-BC,CA,90,12/17/1989 0:00:00,Ring-billed Gull,Larus delawarensis,48,,
277577,BCDU,Duncan,48.788176,-123.671391,CA-BC,CA,121,1/1/2021 0:00:00,Greater Scaup,Aythya marila,56,101,
140264,WAVA,Vashon,47.433151,-122.506703,US-WA,US,107,12/31/2006 0:00:00,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,5,120,
138501,WAOL,Olympia,47.072247,-122.853297,US-WA,US,107,12/17/2006 0:00:00,Evening Grosbeak,Coccothraustes vespertinus,41,127,
280994,BCSL,Shuswap Lake P.P.,50.909098,-119.431959,CA-BC,CA,121,12/29/2020 0:00:00,Canada Goose,Branta canadensis,51,58,
225965,BCMA,Greater Masset,54.046406,-132.190262,CA-BC,CA,116,12/27/2015 0:00:00,Marbled Murrelet,Brachyramphus marmoratus,14,85,
30035,WAQR,Quillayute River,47.9,-124.5333,US-WA,US,94,12/18/1993 0:00:00,Hooded Merganser,Lophodytes cucullatus,17,77,
277463,BCDC,Dawson Creek,55.750029,-120.216701,CA-BC,CA,121,1/2/2021 0:00:00,Dark-eyed Junco,Junco hyemalis,3,33,
82017,WASD,Sequim-Dungeness,48.1,-123.0667,US-WA,US,101,12/18/2000 0:00:00,Black-capped Chickadee,Poecile atricapillus,227,142,
33938,BCSA,Salmon Arm,50.700007,-119.233303,CA-BC,CA,95,12/26/1994 0:00:00,Bald Eagle,Haliaeetus leucocephalus,13,,
