"","Locality","DecimalLatitude","DecimalLongitude"
"1","Camas Prairie-Trout Lake",45.983715,-121.416802
"2","Seattle",47.601743,-122.334078
"3","Penticton",49.529425,-119.596
"4","Twisp",48.364436,-120.121142
"5","Walla Walla",46.066716,-118.233303
"6","Anacortes-Sidney",48.583278,-123.000571
"7","Vaseux Lake",49.309175,-119.590922
"8","Spokane",47.716786,-117.416911
"9","Vancouver",49.260262,-123.105012
"10","Sooke",48.344185,-123.671861
"11","San Juan Islands Archipelago",48.546237,-123.012979
"12","Tri-Cities",46.235742,-119.180506
"13","Padilla Bay",48.483361,-122.566733
"14","Pitt Meadows",49.283877,-122.672921
"15","East Lake Washington",47.589901,-121.999474
"16","Lower Howe Sound",49.425566,-123.350901
"17","Port Alberni",49.257308,-124.81396
"18","Port Gamble",47.8333,-122.6
"19","Port Townsend",48.05,-122.7333
"20","Fort St. James",54.444234,-124.257625
"21","Lyle",45.683335,-121.233306
"22","Olympia",47.072247,-122.853297
"23","Bridgeport",48.0184,-119.6898
"24","Oliver-Osoyoos",49.084592,-119.517993
"25","Ladner",49.0538,-123.0573
"26","Victoria",48.466705,-123.400005
"27","Moses Lake",47.1381,-119.3214
"28","Vashon",47.433151,-122.506703
"29","Tacoma",47.233482,-122.516741
"30","Kent-Auburn",47.359768,-122.178678
"31","Skagit Bay",48.297314,-122.387913
"32","Cawston",49.0961,-119.796
"33","Grays Harbor",46.966709,-124.050002
"34","Oak Harbor",48.264568,-122.680529
"35","Port Angeles",48.068895,-123.473626
"36","Sequim-Dungeness",48.1,-123.0667
"37","Lake Country",50.078648,-119.393528
"38","Chelan",47.8667,-120.05
"39","Yakima Valley",46.591941,-120.455466
"40","Bellingham",48.811197,-122.562873
"41","Toppenish N.W.R.",46.360946,-120.417948
"42","Ashcroft-Cache Creek",50.750037,-121.250029
"43","White Rock-Surrey-Langley",49.062,-122.7289
"44","Omak-Okanogan",48.363379,-119.578031
"45","Vernon",50.268618,-119.276852
"46","Chelan",47.833462,-120.083338
"47","Cle Elum",47.220766,-120.809401
"48","Kelowna",49.8836111,-119.493464
"49","Bamfield",48.835229,-125.136461
"50","Chilliwack",49.111335,-121.943591
"51","Kamloops",50.66944,-120.398
"52","Everett-Marysville",48.086406,-122.216716
"53","Satsop",46.9921,-123.4588
"54","Two Rivers",46.0833,-118.6167
"55","Ellensburg",47.006009,-120.589488
"56","Columbia Hills-Klickitat Valley",45.766704,-120.783299
"57","Cowlitz-Columbia",46.109176,-122.978721
"58","Williams Lake",52.133326,-122.133304
"59","Leadbetter Point",46.560496,-123.989417
"60","Lillooet",50.679015,-121.932837
"61","Lewis County",46.6800066,-122.922596
"62","Lardeau",50.145837,-116.954626
"63","North Cascades",48.656595,-121.239881
"64","Edmonds",47.85238,-122.24885
"65","Shuswap Lake P.P.",50.909098,-119.431959
"66","Peachland",49.7549,-119.7636
"67","Wahkiakum",46.191667,-123.466667
"68","Sunshine Coast",49.466757,-123.616714
"69","Whistler",50.1159,-122.9595
"70","Parksville-Qualicum Beach",49.345771,-124.360018
"71","South End Whidbey",48.036485,-122.480245
"72","Slocan Lake",50.019141,-117.380274
"73","Abbotsford-Mission",49.113584,-122.303086
"74","Leavenworth",47.567768,-120.605009
"75","Pender Islands",48.81403,-123.19732
"76","Little River-Powell River Ferry",49.795879,-124.721701
"77","Neah Bay",48.355751,-124.599751
"78","Nanaimo",49.166765,-123.933311
"79","Duncan",48.788176,-123.671391
