OID_,abbrev,name,count_yr,min_temp,max_temp,min_wind,max_wind,wind_direction,min_snow,max_snow,still_water,moving_water,am_cloud,pm_cloud,am_rain_cond_names,pm_rain_cond_names,am_snow_cond_names,pm_snow_cond_names
1,BCBA,Bamfield,90,37.000000000000000,42.000000000000000,10.000000000000000,15.000000000000000,,0.000000000000000,0.000000000000000,Open,Open,Foggy,Foggy,Light,Light,None,None
2,BCCB,Cranbrook,90,19.000000000000000,22.000000000000000,0.000000000000000,5.000000000000000,North,6.000000000000000,6.000000000000000,Partly Frozen,Partly Open,Foggy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
3,BCCH,Chilliwack,90,40.000000000000000,50.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Foggy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
4,BCCO,Comox,90,39.000000000000000,43.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Clear,Unknown,Unknown,Unknown,Unknown
5,BCCR,Campbell River,90,38.000000000000000,51.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Clear,Light,None,None,None
6,BCDB,Deep Bay,90,42.000000000000000,46.000000000000000,0.000000000000000,11.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
7,BCDU,Duncan,90,35.000000000000000,44.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Foggy,Cloudy,Unknown,Unknown,Unknown,Unknown
8,BCFA,Fauquier,90,30.000000000000000,37.000000000000000,0.000000000000000,5.000000000000000,,0.000000000000000,6.000000000000000,Partly Frozen,Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
9,BCFS,Fort St. James,90,30.000000000000000,33.000000000000000,5.000000000000000,5.000000000000000,Northeast,18.000000000000000,18.000000000000000,Partly Open,Partly Open,Partly Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
10,BCKA,Kamloops,90,30.000000000000000,35.000000000000000,5.000000000000000,15.000000000000000,West,0.000000000000000,0.000000000000000,Frozen,Open,Unknown,Cloudy,Unknown,Unknown,Unknown,Unknown
11,BCKE,Kelowna,90,32.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Clear,Unknown,Unknown,Unknown,Unknown
12,BCKI,Kitimat,90,35.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
13,BCLA,Ladner,90,31.000000000000000,35.000000000000000,5.000000000000000,5.000000000000000,South,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
14,BC04,Creston,91,-10.000000000000000,-3.000000000000000,10.000000000000000,10.000000000000000,North,18.000000000000000,18.000000000000000,Frozen,Partly Open,Partly Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
15,BCBA,Bamfield,91,30.000000000000000,32.000000000000000,10.000000000000000,15.000000000000000,Southeast,0.000000000000000,1.000000000000000,Partly Frozen,Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
16,BCBL,Burns Lake-Francois Lake,91,-10.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Calm,24.000000000000000,24.000000000000000,Frozen,Frozen,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
17,BCCB,Cranbrook,91,0.000000000000000,4.000000000000000,0.000000000000000,5.000000000000000,South,7.000000000000000,7.000000000000000,Frozen,Partly Open,Cloudy,Cloudy,None,None,Light,Light
18,BCCH,Chilliwack,91,34.000000000000000,35.000000000000000,15.000000000000000,15.000000000000000,West,0.000000000000000,0.000000000000000,Open,Open,Foggy,Cloudy,Light,Light,Light,Light
19,BCCO,Comox,91,37.000000000000000,41.000000000000000,20.000000000000000,20.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Foggy,None,Heavy,Light,None
20,BCCR,Campbell River,91,14.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,Calm,3.000000000000000,3.000000000000000,Partly Frozen,Open,Partly Cloudy,Foggy,None,None,Light,"Heavy,Light"
21,BCDB,Deep Bay,91,19.000000000000000,20.000000000000000,25.000000000000000,25.000000000000000,Northwest,0.000000000000000,0.000000000000000,Frozen,Partly Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
22,BCDU,Duncan,91,33.000000000000000,47.000000000000000,10.000000000000000,10.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Heavy,None,None,None
23,BCFA,Fauquier,91,0.000000000000000,7.000000000000000,5.000000000000000,10.000000000000000,South,20.000000000000000,30.000000000000000,Frozen,Partly Frozen,Cloudy,Cloudy,None,None,Heavy,Heavy
24,BCFS,Fort St. James,91,28.000000000000000,39.000000000000000,7.000000000000000,7.000000000000000,Southeast,16.000000000000000,16.000000000000000,Frozen,Partly Open,Foggy,Cloudy,None,None,"Heavy,Light","Heavy,Light"
