OBJECTID,TransectID,SurveySide,SurveyYear,PocketEstuary,Shape_Length,Shape_Area
1,2,Left,2017,0,29540.472186628103373,2397758.576869373209774
2,2,Right,2017,0,29479.998639502573496,2392792.838699957821518
3,4,Left,2017,0,156176.968982149701333,12792444.205308474600315
4,4,Right,2017,0,154335.621797262807377,12641329.237427351996303
5,6,Left,2017,0,203436.653413731866749,16672079.925262428820133
6,6,Right,2017,0,205877.157888554385863,16872393.991257682442665
7,8,Left,2017,0,32304.167484027067985,2624494.633066221605986
8,8,Right,2017,0,29691.973747380343411,2410119.249201610684395
9,10,Left,2017,0,96138.995749366818927,7864021.965113495476544
10,10,Right,2017,0,94217.841613030454027,7706378.380988392978907
11,12,Left,2017,0,48796.013642359539517,3978288.475860945880413
12,12,Right,2017,0,49653.315196549592656,4048641.011633785441518
13,14,Left,2017,0,172898.642949765140656,14165318.588249389082193
14,14,Right,2017,0,171490.640981179196388,14049737.914369586855173
15,16,Left,2017,0,51998.498393542780832,4241356.068841167725623
16,16,Right,2017,0,51692.330647410308302,4216229.472129025496542
17,18,Left,2017,0,152122.089889674010919,12460324.771061645820737
18,18,Right,2017,0,153581.330976129829651,12580086.054099211469293
19,20,Left,2017,0,149080.855369497759966,12209981.118376417085528
20,20,Right,2017,0,148746.549019975500414,12182534.147733749821782
21,22,Left,2017,0,297551.807516412751283,24395195.043749839067459
22,22,Right,2017,0,298680.435094403219409,24368344.624335527420044
23,25,Left,2017,0,183723.927534030604875,15048387.768394764512777
24,25,Right,2017,0,180356.782819469430251,14637768.236206196248531
25,28,Left,2017,0,289315.160664017836098,23658406.718216758221388
26,28,Right,2017,0,289140.181041206058580,23523269.462912902235985
27,31,Left,2017,0,179574.200286392238922,14707830.170551342889667
28,31,Right,2017,0,177016.956999900750816,14498054.818622758612037
29,32,Left,2017,0,148823.896531234378926,12184591.174262600019574
30,32,Right,2017,0,150188.857821738929488,12257297.084221925586462
31,33,Left,2017,0,281577.571898121328559,23078412.108718488365412
32,33,Right,2017,0,278050.931160350388382,22789066.226829256862402
33,36,Left,2017,0,287317.248265070375055,23320760.428247634321451
34,36,Right,2017,0,288909.674177465902176,23550758.677813924849033
35,39,Left,2017,0,337740.469557684264146,27687399.879317540675402
36,39,Right,2017,0,337952.871279949322343,27634079.971475165337324
37,42,Left,2017,0,55337.776875169161940,4514124.551574502140284
38,42,Right,2017,0,55613.138036508513323,4536707.323167843744159
