OBJECTID,TransectID,LAST_DateTime,FirstDateTime,TransectCode,SurveyYear,Shape_Length
1,2,2016-12-01 11:25:38,2016-12-01 11:24:04,20,2017,14591.135547871905146
2,4,2016-12-01 11:37:14,2016-12-01 11:28:21,20,2017,77465.557887135568308
3,6,2016-12-01 11:50:34,2016-12-01 11:38:47,20,2017,102164.897082674113335
4,8,2016-12-01 11:53:33,2016-12-01 11:51:50,20,2017,15335.380763532282799
5,10,2016-12-01 12:38:59,2016-12-01 12:33:53,20,2017,47426.129642354724638
6,12,2016-12-01 12:41:37,2016-12-01 12:39:06,20,2017,24448.714707055376493
7,14,2016-12-01 12:53:03,2016-12-01 12:43:25,20,2017,85935.913687296400894
8,16,2016-12-01 13:00:24,2016-12-01 12:57:40,20,2017,25758.614285265412036
9,18,2016-12-01 13:12:14,2016-12-01 13:03:13,20,2017,76415.307159815478371
10,20,2016-12-01 13:24:07,2016-12-01 13:15:13,20,2017,74292.730467049506842
11,22,2016-12-01 13:44:25,2016-12-01 13:26:57,20,2017,149155.882766799331876
12,25,2016-12-06 10:40:09,2016-12-06 10:30:05,10,2017,91153.582729092580848
13,28,2016-12-06 10:59:19,2016-12-06 10:41:36,20,2017,145103.790778072230751
14,31,2016-12-06 11:10:37,2016-12-06 11:00:32,10,2017,88985.479862513369881
15,32,2016-12-06 11:19:24,2016-12-06 11:10:37,20,2017,74909.971556384378346
16,33,2016-12-06 11:35:19,2016-12-06 11:19:24,10,2017,139745.311304272006964
17,36,2016-12-06 11:55:11,2016-12-06 11:38:17,20,2017,144392.365302998863626
18,39,2016-12-06 12:57:45,2016-12-06 12:38:43,10,2017,168779.948895562061807
19,42,2016-12-06 13:02:22,2016-12-06 12:59:26,20,2017,27573.961342091533879
20,44,2016-12-06 13:07:20,2016-12-06 13:04:26,20,2017,23724.092132763253176
21,47,2016-12-06 13:12:53,2016-12-06 13:10:47,10,2017,18025.487303365676780
22,51,2016-12-07 11:22:07,2016-12-07 11:20:50,10,2017,11516.075830026709809
23,53,2016-12-07 11:28:29,2016-12-07 11:22:49,10,2017,50125.945348177912820
24,55,2016-12-07 11:32:59,2016-12-07 11:29:46,10,2017,25842.631397240111255
25,57,2016-12-07 11:36:58,2016-12-07 11:33:48,10,2017,26632.617727650424058
26,60,2016-12-07 11:55:08,2016-12-07 11:43:28,20,2017,99789.341233290440869
27,63,2016-12-07 12:06:32,2016-12-07 11:56:23,10,2017,87481.551291117983055
28,66,2016-12-07 12:09:59,2016-12-07 12:06:50,20,2017,26407.301122375614796
29,68,2016-12-07 12:52:30,2016-12-07 12:48:05,20,2017,38397.432767743914155
30,71,2016-12-07 13:04:05,2016-12-07 12:55:54,10,2017,71145.995154646108858
31,73,2016-12-07 13:15:44,2016-12-07 13:04:19,10,2017,104005.995983036889811
32,76,2016-12-07 13:42:54,2016-12-07 13:18:07,20,2017,211746.377985215483932
33,79,2016-12-07 13:52:58,2016-12-07 13:51:05,10,2017,17082.327294798604271
34,80,2016-12-07 14:05:39,2016-12-07 13:52:58,20,2017,119523.957871180100483
35,83,2016-12-09 10:42:18,2016-12-09 10:35:53,10,2017,54484.413846875431773
36,85,2016-12-09 11:03:15,2016-12-09 10:43:39,10,2017,154341.541782178770518
37,88,2016-12-09 11:14:23,2016-12-09 11:07:41,20,2017,54974.966366066139017
38,90,2016-12-09 11:18:47,2016-12-09 11:15:30,20,2017,28810.141186418550205
39,92,2016-12-09 11:25:11,2016-12-09 11:19:11,20,2017,54072.353227341467573
40,94,2016-12-09 11:40:20,2016-12-09 11:36:11,20,2017,33880.143985557740962
41,97,2016-12-15 10:09:41,2016-12-15 10:01:14,10,2017,70538.984187126770848
42,99,2016-12-15 10:19:17,2016-12-15 10:10:48,10,2017,74156.889681184562505
43,102,2016-12-15 10:41:05,2016-12-15 10:22:27,20,2017,161169.327436635387130
44,104,2016-12-15 10:42:44,2016-12-15 10:42:16,20,2017,3739.495869084041260
45,106,2016-12-15 10:47:33,2016-12-15 10:43:26,20,2017,36947.600146736855095
46,108,2016-12-15 10:50:52,2016-12-15 10:48:31,20,2017,21911.503990085773694
47,110,2016-12-15 11:11:45,2016-12-15 10:54:08,20,2017,162183.737345366127556
48,113,2016-12-15 11:21:56,2016-12-15 11:15:04,10,2017,56466.678085762090632
49,114,2016-12-15 11:23:49,2016-12-15 11:21:56,20,2017,16512.205361295204057
50,117,2016-12-15 11:29:47,2016-12-15 11:24:32,10,2017,45674.176495548817911
51,120,2016-12-15 11:38:48,2016-12-15 11:30:08,20,2017,74845.906080331842531
52,122,2016-12-15 11:42:37,2016-12-15 11:41:26,20,2017,10076.268769873444398
53,125,2016-12-15 11:47:18,2016-12-15 11:44:45,10,2017,22269.046427273005975
54,127,2016-12-15 11:54:34,2016-12-15 11:50:52,10,2017,31876.702339850311546
55,129,2016-12-15 11:59:00,2016-12-15 11:54:47,10,2017,34677.845017043815460
56,131,2016-12-15 12:56:27,2016-12-15 12:44:27,10,2017,102105.678336816170486
