OBJECTID,TaxoNameID,PSEMP_SpeciesCode,Description,TaxoDbHierarchy,PSEMP_CommonName,PSEMP_SciName1,PSEMP_SciName2,TaxoSppCode,TaxoCommonName,TaxoScientificName,TaxoClassName
1,,ULSD,"Shorebirds, unidentified large",,"Sea bird, unidentified",Unclassified Sea Bird Species,(Old: Charadriiformes) Ciconiiformes,,,,
2,,UMSD,"Shorebirds, unidentified medium",,"Sea bird, unidentified",Unclassified Sea Bird Species,(Old: Charadriiformes) Ciconiiformes,,,,
3,,UNSB,"Sea bird, unidentified",,"Sea bird, unidentified",Unclassified Sea Bird Species,(Old: Charadriiformes) Ciconiiformes,,,,
4,,USSD,"Shorebirds, unidentified small",,"Sea bird, unidentified",Unclassified Sea Bird Species,(Old: Charadriiformes) Ciconiiformes,,,,
5,,ULGR,"Grebe, unidentified large",,"Grebe, unidentified",Unclassified Podicipediformes Species,Podicipediformes,,,,
6,,UNGR,"Grebe, unidentified",,"Grebe, unidentified",Unclassified Podicipediformes Species,Podicipediformes,,,,
7,,USGR,"Grebe, unidentified small",,"Grebe, unidentified",Unclassified Podicipediformes Species,Podicipediformes,,,,
8,,UNTB,"Tubenose, unidentified",,"Tubenose, unidentified",Unclassified Procellariiformes Species,Procellariiformes,,,,
9,,UNDD,"Diving Duck, Unid.",,"Diving Duck, unidentified",Unclassified Diving Duck and Sea Duck,Anatidae,,,,
10,,UNDU,"Duck, unidentifed",,"Diving Duck, unidentified",Unclassified Diving Duck and Sea Duck,Anatidae,,,,
11,,UNPD,"Duck, unidentified dabbling/pond",,"Diving Duck, unidentified",Unclassified Diving Duck and Sea Duck,Anatidae,,,,
12,,UNSD,"Sandpiper, unidentified",,"Sandpiper, unidentified",Unclassified Scolopacidae Species,Scolopacidae,,,,
13,,ULAC,"Alcid, unidentified large",,"Alcid, unidentified",Unclassified Alcidae Species,Alcidae,,,,
14,,UMAC,"Alcid, unidentified medium",,"Alcid, unidentified",Unclassified Alcidae Species,Alcidae,,,,
15,,UNAC,"Alcid, unidentified",,"Alcid, unidentified",Unclassified Alcidae Species,Alcidae,,,,
16,,UNML,"Murrelet, unidentified",,"Alcid, unidentified",Unclassified Alcidae Species,Alcidae,,,,
17,,USAC,"Alcid, unidentified small",,"Alcid, unidentified",Unclassified Alcidae Species,Alcidae,,,,
18,,UBWG,"Gull, unidentified black-wing tip",,"Gull, unidentified",Unclassified Laridae Species,Laridae,,,,
19,,ULGU,"Gull, unidentified large",,"Gull, unidentified",Unclassified Laridae Species,Laridae,,,,
20,,UNGU,"Gull, Unid.",,"Gull, unidentified",Unclassified Laridae Species,Laridae,,,,
21,,USGU,"Gull, unidentified small",,"Gull, unidentified",Unclassified Laridae Species,Laridae,,,,
22,,UNCO,"Cormorant, Unid.",,"Cormorant, unidentified",Unclassified Phalacrocoracidae Spp.,Phalacrocoracidae,,,,
23,,UNAL,"Albatross, unidentified",,"Albatross, unidentified",Unclassified Diomedeidae Species,Diomedeidae,,,,
24,,UNPT,"Pterodoma, unidentified",,"Pterodroma, unidentified",Unclassified Pterodama (Petrel) Species,Pterodama,,,,
25,,UNSP,"Storm-petrel, unidentified",,"Pterodroma, unidentified",Unclassified Pterodama (Petrel) Species,Pterodama,,,,
26,,UDSH,"Shearwater, unidentified dark",,"Shearwater, unidentified",Unclassified Procellariidae Species,Procellariidae,,,,
27,,UNSH,"Shearwater, unidentified",,"Shearwater, unidentified",Unclassified Procellariidae Species,Procellariidae,,,,
28,,TEAL,"Teal, Unid.",,"Teal, unidentified",Unclassified Teal Species,Anas,,,,
29,,SCAU,Scaup,,"Scaup, unidentified",Unclassified Scaup (Aythya marila or A. affinis),Aythya,,,,
30,,UNSW,"Swan, unidentified",,"Swan, unidentified",Unclassified Cygnus Species,Cygnus,,,,
31,,UNSC,"Scoter , Unid.",,"Scoter , unidentified",Unclassified Melanitta Species,Melanitta,,,,
